Dataset,Fragments,Count,Proportion,AMW,NumCarbons,NumOxygens,NumNitrogens,NumHeavyAtoms,CSP3,FractionOfChiralCarbons,NumAliphaticRings,NumAromaticRings,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumHeterocycles,NumRings,NumSpiroAtoms,NumBridgeheadAtoms
3CLP,*C(*)=O,36,33.333,27.99491462,1,1,0,2,0.0,0.0,0,0,0,0,0,0,0,0
3CLP,*CC(*)=O,26,24.074,42.010564684,2,1,0,3,0.5,0.0,0,0,0,0,0,0,0,0
3CLP,*C(C)=O,11,10.185,43.018389716,2,1,0,3,0.5,0.0,0,0,0,0,0,0,0,0
3CLP,*C(=O)CSc1nccc(*)n1,8,7.407,152.004433748,6,1,2,10,0.16666666666666666,0.0,0,1,0,1,1,1,0,0
3CLP,*C(=O)c1cc(C)on1,7,6.481,110.024203368,5,2,1,8,0.2,0.0,0,1,0,1,1,1,0,0
3CLP,*C(=O)c1ccccc1*,6,5.556,104.026214748,7,1,0,8,0.0,0.0,0,1,0,1,0,1,0,0
3CLP,*C(=O)C(*)c1ccn(C)c1,6,5.556,121.052763844,7,1,1,9,0.2857142857142857,0.14285714285714285,0,1,0,1,1,1,0,0
3CLP,*C(=O)c1ccc(Cl)cc1*,5,4.63,137.987242396,7,1,0,9,0.0,0.0,0,1,0,1,0,1,0,0
3CLP,*Cc1cc2ccccc2s1,4,3.704,147.026846224,9,0,0,10,0.1111111111111111,0.0,0,2,0,2,1,2,0,0
3CLP,*C(=O)C(*)c1cccnc1,3,2.778,119.03711378,7,1,1,9,0.14285714285714285,0.14285714285714285,0,1,0,1,1,1,0,0
3CLP,*C(=O)c1cc2ccccc2[nH]1,3,2.778,144.044938812,9,1,1,11,0.0,0.0,0,2,0,2,1,2,0,0
3CLP,*C(=O)C(*)C,3,2.778,56.026214748,3,1,0,4,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0
3CLP,*c1cc(=O)c2c(O)cc(O)c(*)c2o1,3,2.778,176.010958608,9,4,0,13,0.0,0.0,0,2,0,2,1,2,0,0
3CLP,*C(=O)c1cccc(*)c1,3,2.778,104.026214748,7,1,0,8,0.0,0.0,0,1,0,1,0,1,0,0
3CLP,*C(=O)c1ccc2c(ccn2*)c1,3,2.778,143.03711378,9,1,1,11,0.0,0.0,0,2,0,2,1,2,0,0
3CLP,*C1C(=O)N(*)N=C1c1ccccc1,3,2.778,158.048012812,9,1,2,12,0.1111111111111111,0.1111111111111111,1,1,1,1,1,2,0,0
