Dataset,Fragments,Count,Proportion,AMW,NumCarbons,NumOxygens,NumNitrogens,NumHeavyAtoms,CSP3,FractionOfChiralCarbons,NumAliphaticRings,NumAromaticRings,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumHeterocycles,NumRings,NumSpiroAtoms,NumBridgeheadAtoms
CAS,*C(*)=O,7496,88.899,27.99491462,1,1,0,2,0.0,0.0,0,0,0,0,0,0,0,0
CAS,*C(C)=O,1358,16.105,43.018389716,2,1,0,3,0.5,0.0,0,0,0,0,0,0,0,0
CAS,*C(=O)C(*)C,1271,15.074,56.026214748,3,1,0,4,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0
CAS,*C1OC(CO)C(O)C1O,1244,14.753,133.050083768,5,4,0,9,1.0,0.8,1,0,1,0,1,1,0,0
CAS,*C1CC(O)C(CO)O1,850,10.081,117.055169148,5,3,0,8,1.0,0.6,1,0,1,0,1,1,0,0
CAS,*C(=O)C(*)[CH3:0],622,7.377,56.026214748,3,1,0,4,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0
CAS,*C(=O)C1C2C(CN1*)C2(C)C,607,7.199,137.084063972,8,1,1,10,0.875,0.375,2,0,1,0,1,2,0,0
CAS,*N1CCOCC1,454,5.384,86.060588876,4,1,1,6,1.0,0.0,1,0,1,0,1,1,0,0
CAS,*Cc1ccc(F)cc1,426,5.052,109.045353412,7,0,0,8,0.14285714285714285,0.0,0,1,0,1,0,1,0,0
CAS,*CC(C)C,400,4.744,57.070425287999996,4,0,0,4,1.0,0.0,0,0,0,0,0,0,0,0
CAS,*C12CC3CC(CC(C3)C1)C2,363,4.305,135.11737548,10,0,0,10,1.0,0.0,4,0,0,0,0,4,0,4
CAS,*CC#N,338,4.009,40.018724064,2,0,1,3,0.5,0.0,0,0,0,0,0,0,0,0
CAS,*C(=O)CC1c2cccc(F)c2N=C(*)N1*,317,3.759,189.046416032,10,1,2,14,0.2,0.1,1,1,1,1,1,2,0,0
CAS,*C(=O)C1CN(*)CCN1*,283,3.356,111.055837844,5,1,2,8,0.8,0.2,1,0,1,0,1,1,0,0
CAS,*C(C)Cn1cnc2c(=N)[nH]cnc21,262,3.107,176.09362031999999,8,0,5,13,0.375,0.125,0,2,0,2,2,2,0,0
CAS,*C(C)C,255,3.024,43.054775224,3,0,0,3,1.0,0.0,0,0,0,0,0,0,0,0
CAS,*CC(*)CO,248,2.941,58.041864812,3,1,0,4,1.0,0.3333333333333333,0,0,0,0,0,0,0,0
CAS,*C1CC1,221,2.621,41.03912516,3,0,0,3,1.0,0.0,1,0,0,0,0,1,0,0
CAS,*C1OC(CO[PH](=O)(=O)O)C(O)C1O,220,2.609,213.01641429,5,7,0,13,1.0,0.8,1,0,1,0,1,1,0,0
CAS,*C(=O)C(*)C(C)C,217,2.574,84.057514876,5,1,0,6,0.8,0.2,0,0,0,0,0,0,0,0
CAS,*CC(C)(C)O,198,2.348,73.065339908,4,1,0,5,1.0,0.0,0,0,0,0,0,0,0,0
CAS,*CC(*)=O,195,2.313,42.010564684,2,1,0,3,0.5,0.0,0,0,0,0,0,0,0,0
CAS,*C(=O)C(N)C(C)C,189,2.241,100.07623894,5,1,1,7,0.8,0.2,0,0,0,0,0,0,0,0
CAS,*Cc1ccc([F:0])cc1,179,2.123,109.045353412,7,0,0,8,0.14285714285714285,0.0,0,1,0,1,0,1,0,0
CAS,*C1OC([CH2:0][OH:0])[CH:0](O)C1O,167,1.981,133.050083768,5,4,0,9,1.0,0.8,1,0,1,0,1,1,0,0
CAS,*C(=O)c1ccccc1,167,1.981,105.03403978,7,1,0,8,0.0,0.0,0,1,0,1,0,1,0,0
CAS,*C(=O)c1cn2c(c(O)c1=O)C(=O)N1C3CCC(C3)OC1C2,143,1.696,289.082446516,14,5,2,21,0.5,0.21428571428571427,3,1,2,1,3,4,0,2
CAS,*C(=O)C1CC2CCCCC2CN1*,122,1.447,165.1153641,10,1,1,12,0.9,0.3,2,0,1,0,1,2,0,0
CAS,*C(=O)C1CCC(F)(F)CC1,119,1.411,147.062146348,7,1,0,10,0.8571428571428571,0.0,1,0,0,0,0,1,0,0
CAS,*C1CC(O)C(CO[PH](=O)(=O)O)O1,118,1.399,197.02149967,5,6,0,12,1.0,0.6,1,0,1,0,1,1,0,0
CAS,*C1CCC(CO)O1,116,1.376,101.060254528,5,2,0,7,1.0,0.4,1,0,1,0,1,1,0,0
CAS,*C1CSC(CO)O1,115,1.364,119.016675464,4,2,0,7,1.0,0.5,1,0,1,0,1,1,0,0
CAS,*C(=O)C(C)(C)C,114,1.352,85.065339908,5,1,0,6,0.8,0.0,0,0,0,0,0,0,0,0
CAS,*C(=O)C(C)C,103,1.222,71.049689844,4,1,0,5,0.75,0.0,0,0,0,0,0,0,0,0
CAS,*C(=O)C1C2CCCC2CN1*,102,1.21,137.084063972,8,1,1,10,0.875,0.375,2,0,1,0,1,2,0,0
CAS,*C1CC(O)C(C[OH:0])O1,99,1.174,117.055169148,5,3,0,8,1.0,0.6,1,0,1,0,1,1,0,0
CAS,*C1OC(CO)C(O)C1F,96,1.139,135.045747336,5,3,0,9,1.0,0.8,1,0,1,0,1,1,0,0
CAS,*C[c:0]1[cH:0][cH:0][c:0]([F:0])[cH:0][cH:0]1,96,1.139,109.045353412,7,0,0,8,0.14285714285714285,0.0,0,1,0,1,0,1,0,0
CAS,*C1C=CC(CO)O1,95,1.127,99.044604464,5,2,0,7,0.6,0.4,1,0,1,0,1,1,0,0
CAS,*C1OC2CO[PH](=O)(=O)OC2C1O,95,1.127,195.005849606,5,6,0,12,1.0,0.8,2,0,2,0,2,2,0,0
CAS,*C(=O)C(*)[PH](=O)(=O)O,95,1.127,121.97689520600001,2,4,0,7,0.5,0.5,0,0,0,0,0,0,0,0
CAS,*C(=O)CCC,94,1.115,71.049689844,4,1,0,5,0.75,0.0,0,0,0,0,0,0,0,0
CAS,*C(=O)CC,93,1.103,57.03403978,3,1,0,4,0.6666666666666666,0.0,0,0,0,0,0,0,0,0
CAS,*N1CC(*)(CC#N)C1,91,1.079,94.053098192,5,0,2,7,0.8,0.0,1,0,1,0,1,1,0,0
CAS,*C1CC([OH:0])C(C[OH:0])O1,90,1.067,117.055169148,5,3,0,8,1.0,0.6,1,0,1,0,1,1,0,0
CAS,*C([CH3:0])=O,88,1.044,43.018389716,2,1,0,3,0.5,0.0,0,0,0,0,0,0,0,0
CAS,*CCOC[PH](=O)(=O)O,85,1.008,139.016020366,3,4,0,8,1.0,0.0,0,0,0,0,0,0,0,0
