Dataset,Fragments,Count,Proportion,AMW,NumCarbons,NumOxygens,NumNitrogens,NumHeavyAtoms,CSP3,FractionOfChiralCarbons,NumAliphaticRings,NumAromaticRings,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumHeterocycles,NumRings,NumSpiroAtoms,NumBridgeheadAtoms
DCM,*CC(*)=O,11891,84.93,42.010564684,2,1,0,3,0.5,0.0,0,0,0,0,0,0,0,0
DCM,*C(*)=O,4410,31.498,27.99491462,1,1,0,2,0.0,0.0,0,0,0,0,0,0,0,0
DCM,*C(C)=O,2947,21.048,43.018389716,2,1,0,3,0.5,0.0,0,0,0,0,0,0,0,0
DCM,*C(=O)C1CCN(*)CC1,2331,16.649,111.068413908,6,1,1,8,0.8333333333333334,0.0,1,0,1,0,1,1,0,0
DCM,*C(=O)C(*)C,1806,12.899,56.026214748,3,1,0,4,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0
DCM,*C(=O)c1ccco1,1413,10.092,95.013304336,5,2,0,7,0.0,0.0,0,1,0,1,1,1,0,0
DCM,*C(=O)c1ccccc1,1384,9.885,105.03403978,7,1,0,8,0.0,0.0,0,1,0,1,0,1,0,0
DCM,*CCC(*)=O,1362,9.728,56.026214748,3,1,0,4,0.6666666666666666,0.0,0,0,0,0,0,0,0,0
DCM,*C(=O)c1ccc(*)cc1,1274,9.099,104.026214748,7,1,0,8,0.0,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)CN(*)C,1211,8.649,71.03711378,3,1,1,5,0.6666666666666666,0.0,0,0,0,0,0,0,0,0
DCM,*C(=O)CCC(*)=O,1149,8.207,84.021129368,4,2,0,6,0.5,0.0,0,0,0,0,0,0,0,0
DCM,*C(=O)C(*)=O,987,7.049,55.989829240000006,2,2,0,4,0.0,0.0,0,0,0,0,0,0,0,0
DCM,*C(=O)C1CCCN(*)C1,911,6.507,111.068413908,6,1,1,8,0.8333333333333334,0.16666666666666666,1,0,1,0,1,1,0,0
DCM,*C(=O)c1cccc(S(*)(=O)=O)c1,881,6.292,167.988114988,7,3,0,11,0.0,0.0,0,1,0,1,0,1,0,0
DCM,*C(C)CO,878,6.271,59.049689844,3,1,0,4,1.0,0.3333333333333333,0,0,0,0,0,0,0,0
DCM,*C(=O)C1(C)CCN1*,849,6.064,97.052763844,5,1,1,7,0.8,0.2,1,0,1,0,1,1,0,0
DCM,*Cc1ccccc1,832,5.942,91.054775224,7,0,0,7,0.14285714285714285,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)c1ccc(S(*)(=O)=O)cc1,791,5.65,167.988114988,7,3,0,11,0.0,0.0,0,1,0,1,0,1,0,0
DCM,*C(O)c1cc(O)n(*)c1,736,5.257,111.0320284,5,2,1,8,0.2,0.2,0,1,0,1,1,1,0,0
DCM,*c1ccccc1,725,5.178,77.03912516,6,0,0,6,0.0,0.0,0,1,0,1,0,1,0,0
DCM,*C(C)C,662,4.728,43.054775224,3,0,0,3,1.0,0.0,0,0,0,0,0,0,0,0
DCM,*N1CCOCC1,612,4.371,86.060588876,4,1,1,6,1.0,0.0,1,0,1,0,1,1,0,0
DCM,*C(=O)c1cccs1,588,4.2,110.990460716,5,1,0,7,0.0,0.0,0,1,0,1,1,1,0,0
DCM,*C(=O)CC,561,4.007,57.03403978,3,1,0,4,0.6666666666666666,0.0,0,0,0,0,0,0,0,0
DCM,*C(=O)c1ccccc1*,551,3.935,104.026214748,7,1,0,8,0.0,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)C1CC1,548,3.914,69.03403978,4,1,0,5,0.75,0.0,1,0,0,0,0,1,0,0
DCM,*CCCC(*)=O,534,3.814,70.041864812,4,1,0,5,0.75,0.0,0,0,0,0,0,0,0,0
DCM,*C(=O)C1CCC(=O)N(*)C1,526,3.757,125.047678464,6,2,1,9,0.6666666666666666,0.16666666666666666,1,0,1,0,1,1,0,0
DCM,*N1CCN(*)CC1,526,3.757,84.06874825599999,4,0,2,6,1.0,0.0,1,0,1,0,1,1,0,0
DCM,*C(=O)CSc1nnc(*)n1*,480,3.428,139.991857684,4,1,3,9,0.25,0.0,0,1,0,1,1,1,0,0
DCM,*C(=O)C1CCCCC1,469,3.35,111.080989972,7,1,0,8,0.8571428571428571,0.0,1,0,0,0,0,1,0,0
DCM,*C(=O)CC1C(=O)NCCN1*,468,3.343,140.058577496,6,2,2,10,0.6666666666666666,0.16666666666666666,1,0,1,0,1,1,0,0
DCM,*C(=O)CN(*)CC,452,3.228,85.052763844,4,1,1,6,0.75,0.0,0,0,0,0,0,0,0,0
DCM,*C(=O)c1cccc(*)c1,437,3.121,104.026214748,7,1,0,8,0.0,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)Cc1ccccc1,436,3.114,119.049689844,8,1,0,9,0.125,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)c1ccc(OC)cc1,421,3.007,135.044604464,8,2,0,10,0.125,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)c1ccccc1Cl,399,2.85,138.995067428,7,1,0,9,0.0,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)c1cccnc1,399,2.85,106.029288748,6,1,1,8,0.0,0.0,0,1,0,1,1,1,0,0
DCM,*C(=O)c1ccccc1F,391,2.793,123.024617968,7,1,0,9,0.0,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)c1ccc(C)cc1,387,2.764,119.049689844,8,1,0,9,0.125,0.0,0,1,0,1,0,1,0,0
DCM,*C1CCCCC1,377,2.693,83.086075352,6,0,0,6,1.0,0.0,1,0,0,0,0,1,0,0
DCM,*C(=O)c1ccc(Cl)cc1,365,2.607,138.995067428,7,1,0,9,0.0,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)c1ccncc1,363,2.593,106.029288748,6,1,1,8,0.0,0.0,0,1,0,1,1,1,0,0
DCM,*C(=O)c1ccc(F)cc1,345,2.464,123.024617968,7,1,0,9,0.0,0.0,0,1,0,1,0,1,0,0
DCM,*CC(O)C*,339,2.421,58.041864812,3,1,0,4,1.0,0.0,0,0,0,0,0,0,0,0
DCM,*C(=O)C(C)C,337,2.407,71.049689844,4,1,0,5,0.75,0.0,0,0,0,0,0,0,0,0
DCM,*C(=O)c1cc(OC)c(OC)c(OC)c1,328,2.343,195.065733832,10,4,0,14,0.3,0.0,0,1,0,1,0,1,0,0
DCM,*CC=C,324,2.314,41.03912516,3,0,0,3,0.3333333333333333,0.0,0,0,0,0,0,0,0,0
DCM,*C(=O)C1CCCN1*,321,2.293,97.052763844,5,1,1,7,0.8,0.2,1,0,1,0,1,1,0,0
DCM,*C(=O)C1(C)CCCN(*)C1,312,2.228,125.084063972,7,1,1,9,0.8571428571428571,0.14285714285714285,1,0,1,0,1,1,0,0
DCM,*C(=O)c1ccccc1OC,299,2.136,135.044604464,8,2,0,10,0.125,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)c1c(*)noc1C,291,2.078,109.016378336,5,2,1,8,0.2,0.0,0,1,0,1,1,1,0,0
DCM,*C(=O)CSc1nnnn1*,272,1.943,141.994931684,3,1,4,9,0.3333333333333333,0.0,0,1,0,1,1,1,0,0
DCM,*CCO,271,1.936,45.03403978,2,1,0,3,1.0,0.0,0,0,0,0,0,0,0,0
DCM,*CCCC,266,1.9,57.070425287999996,4,0,0,4,1.0,0.0,0,0,0,0,0,0,0,0
DCM,*C(=O)CCc1ccccc1,260,1.857,133.065339908,9,1,0,10,0.2222222222222222,0.0,0,1,0,1,0,1,0,0
DCM,*N1CCCCC1,258,1.843,84.08132432,5,0,1,6,1.0,0.0,1,0,1,0,1,1,0,0
DCM,*C(=O)C1CCCO1,258,1.843,99.044604464,5,2,0,7,0.8,0.2,1,0,1,0,1,1,0,0
DCM,*C(=O)c1ccc(Br)o1,249,1.778,172.923816404,5,2,0,8,0.0,0.0,0,1,0,1,1,1,0,0
DCM,*C(=O)c1ccc([N+](=O)[O-])cc1,247,1.764,150.019117988,7,3,1,11,0.0,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)CCC,243,1.736,71.049689844,4,1,0,5,0.75,0.0,0,0,0,0,0,0,0,0
DCM,*C(=O)c1ccc2c(c1)OCO2,237,1.693,149.02386902,8,3,0,11,0.125,0.0,1,1,1,1,1,2,0,0
DCM,*C(=O)c1ccccc1C,235,1.678,119.049689844,8,1,0,9,0.125,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)c1ccc(OC)c(OC)c1,225,1.607,165.055169148,9,3,0,12,0.2222222222222222,0.0,0,1,0,1,0,1,0,0
DCM,*Cc1ccc(C(*)=O)cc1,224,1.6,118.041864812,8,1,0,9,0.125,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)C(C)(C)C,221,1.578,85.065339908,5,1,0,6,0.8,0.0,0,0,0,0,0,0,0,0
DCM,*C(=O)CSc1nnc(*)n1C,218,1.557,155.01533278,5,1,3,10,0.4,0.0,0,1,0,1,1,1,0,0
DCM,*C(=O)C(*)c1ccccc1,213,1.521,118.041864812,8,1,0,9,0.125,0.125,0,1,0,1,0,1,0,0
DCM,*C(=O)c1cc(S(*)(=O)=O)ccc1Cl,211,1.507,201.949142636,7,3,0,12,0.0,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)c1ccc(Cl)c(S(*)(=O)=O)c1,211,1.507,201.949142636,7,3,0,12,0.0,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)CSc1nc2ccccc2c(=O)n1*,208,1.486,218.014998432,10,2,2,15,0.1,0.0,0,2,0,2,1,2,0,0
DCM,*C(=O)c1cccc(C)c1,207,1.478,119.049689844,8,1,0,9,0.125,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)CSCC(*)=O,204,1.457,115.993200368,4,2,0,7,0.5,0.0,0,0,0,0,0,0,0,0
DCM,*C(=O)C1CCC1,204,1.457,83.049689844,5,1,0,6,0.8,0.0,1,0,0,0,0,1,0,0
DCM,*C(=O)c1cc(OC)cc(OC)c1,200,1.428,165.055169148,9,3,0,12,0.2222222222222222,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)C(*)C#N,198,1.414,67.005813652,3,1,1,5,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0
DCM,*C(=O)c1ccc(Br)cc1,197,1.407,182.944551848,7,1,0,9,0.0,0.0,0,1,0,1,0,1,0,0
DCM,*N1CCCC1,197,1.407,70.065674256,4,0,1,5,1.0,0.0,1,0,1,0,1,1,0,0
DCM,*CCOC,197,1.407,59.049689844,3,1,0,4,1.0,0.0,0,0,0,0,0,0,0,0
DCM,*C1CCCC1,195,1.393,69.070425288,5,0,0,5,1.0,0.0,1,0,0,0,0,1,0,0
DCM,*C(=O)C(*)C(C)C,195,1.393,84.057514876,5,1,0,6,0.8,0.2,0,0,0,0,0,0,0,0
DCM,*C1CC1,194,1.386,41.03912516,3,0,0,3,1.0,0.0,1,0,0,0,0,1,0,0
DCM,*C1CN(*)CC(CO)O1,192,1.371,115.063328528,5,2,1,8,1.0,0.4,1,0,1,0,1,1,0,0
DCM,*C(=O)CSc1nnc(*)o1,187,1.336,141.983698304,4,2,2,9,0.25,0.0,0,1,0,1,1,1,0,0
DCM,*C(=O)c1cc(S(*)(=O)=O)ccc1C,186,1.328,182.003765052,8,3,0,12,0.125,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)C1(C)CCN(*)C1,185,1.321,111.068413908,6,1,1,8,0.8333333333333334,0.16666666666666666,1,0,1,0,1,1,0,0
DCM,*C(=O)C1CCCC1,182,1.3,97.065339908,6,1,0,7,0.8333333333333334,0.0,1,0,0,0,0,1,0,0
DCM,*c1ccc(Cl)cc1,182,1.3,111.000152808,6,0,0,7,0.0,0.0,0,1,0,1,0,1,0,0
DCM,*c1ccc(C)cc1,181,1.293,91.054775224,7,0,0,7,0.14285714285714285,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)CCCC(*)=O,181,1.293,98.036779432,5,2,0,7,0.6,0.0,0,0,0,0,0,0,0,0
DCM,*C(=O)c1nn(*)c(=O)c2ccccc12,181,1.293,172.027277368,9,2,2,13,0.0,0.0,0,2,0,2,1,2,0,0
DCM,*C(=O)c1cccc(OC)c1,181,1.293,135.044604464,8,2,0,10,0.125,0.0,0,1,0,1,0,1,0,0
DCM,*C(=O)c1cc(*)nc2ccccc12,180,1.286,155.03711378,10,1,1,12,0.0,0.0,0,2,0,2,1,2,0,0
DCM,*C(=O)c1cn(*)nc1*,179,1.278,93.008887652,4,1,2,7,0.0,0.0,0,1,0,1,1,1,0,0
DCM,*C(=O)CC(C)C,178,1.271,85.065339908,5,1,0,6,0.8,0.0,0,0,0,0,0,0,0,0
DCM,*C(=O)c1cccc([N+](=O)[O-])c1,176,1.257,150.019117988,7,3,1,11,0.0,0.0,0,1,0,1,0,1,0,0
DCM,*c1ccc(OC)cc1,173,1.236,107.049689844,7,1,0,8,0.14285714285714285,0.0,0,1,0,1,0,1,0,0
DCM,*N(C)C,171,1.221,44.050024191999995,2,0,1,3,1.0,0.0,0,0,0,0,0,0,0,0
DCM,*C(C)(C)C,167,1.193,57.070425287999996,4,0,0,4,1.0,0.0,0,0,0,0,0,0,0,0
DCM,*C(=O)C1COc2ccccc2O1,167,1.193,163.039519084,9,3,0,12,0.2222222222222222,0.1111111111111111,1,1,1,1,1,2,0,0
DCM,*C(=O)c1ccc2nc(CC)c(*)n2c1,166,1.186,172.063662876,10,1,2,13,0.2,0.0,0,2,0,2,2,2,0,0
DCM,*C(=O)c1cccc(F)c1,164,1.171,123.024617968,7,1,0,9,0.0,0.0,0,1,0,1,0,1,0,0
