Dataset,Fragments,Count,Proportion,AMW,NumCarbons,NumOxygens,NumNitrogens,NumHeavyAtoms,CSP3,FractionOfChiralCarbons,NumAliphaticRings,NumAromaticRings,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumHeterocycles,NumRings,NumSpiroAtoms,NumBridgeheadAtoms
FooDB,*C(C)C,899,28.217,43.054775224,3,0,0,3,1.0,0.0,0,0,0,0,0,0,0,0
FooDB,*C1OC(CO)C(O)C(O)C1O,678,21.281,163.060648452,6,5,0,11,1.0,0.8333333333333334,1,0,1,0,1,1,0,0
FooDB,*C(C)=O,675,21.186,43.018389716,2,1,0,3,0.5,0.0,0,0,0,0,0,0,0,0
FooDB,*CC(*)COP(=O)([O-])OCC[N+](C)(C)C,525,16.478,223.09734468599999,8,4,1,14,1.0,0.125,0,0,0,0,0,0,0,0
FooDB,*C(=O)CCCCCCCCCCCCCCC,495,15.537,239.237490612,16,1,0,17,0.9375,0.0,0,0,0,0,0,0,0,0
FooDB,*CC(*)CO[PH](=O)(=O)OCCN,479,15.035,181.050394494,5,4,1,11,1.0,0.2,0,0,0,0,0,0,0,0
FooDB,*CC(*)CO,469,14.721,58.041864812,3,1,0,4,1.0,0.3333333333333333,0,0,0,0,0,0,0,0
FooDB,*C(=O)CCCCCCCCCCCCCCCCC,395,12.398,267.26879074,18,1,0,19,0.9444444444444444,0.0,0,0,0,0,0,0,0,0
FooDB,*CC(*)=O,305,9.573,42.010564684,2,1,0,3,0.5,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)CCCCCCCCCCCCC,245,7.69,211.206190484,14,1,0,15,0.9285714285714286,0.0,0,0,0,0,0,0,0,0
FooDB,*C1OC(C)C(O)C(O)C1O,225,7.062,147.065733832,6,4,0,10,1.0,0.8333333333333334,1,0,1,0,1,1,0,0
FooDB,*C(=O)CCCCCCCCCCCCCCCCCCC,217,6.811,295.300090868,20,1,0,21,0.95,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)CCCCCCCCCCCCCCCCCCCCC,186,5.838,323.33139099600004,22,1,0,23,0.9545454545454546,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)CCCCCCCCCCCCCC,183,5.744,225.221840548,15,1,0,16,0.9333333333333333,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)c1cc(O)c(O)c(O)c1,177,5.556,153.01878364,7,4,0,11,0.0,0.0,0,1,0,1,0,1,0,0
FooDB,*C(=O)CCCCCCCCCCCCCCCCCCCCCCC,169,5.304,351.36269112400004,24,1,0,25,0.9583333333333334,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)C(O)C(C)(C)CO[PH](=O)(=O)O[PH](=O)(=O)OCC1OC(*)C(O)C1O[PH](=O)(=O)O,166,5.21,486.00932986199984,11,15,0,29,0.9090909090909091,0.45454545454545453,1,0,1,0,1,1,0,0
FooDB,*C(=O)C1OC(*)C(O)C(O)C1O,163,5.116,160.037173356,6,5,0,11,0.8333333333333334,0.8333333333333334,1,0,1,0,1,1,0,0
FooDB,*CC(*)CO*,133,4.175,57.03403978,3,1,0,4,1.0,0.3333333333333333,0,0,0,0,0,0,0,0
FooDB,*C(=O)C(C)=CC,122,3.829,83.049689844,5,1,0,6,0.4,0.0,0,0,0,0,0,0,0,0
FooDB,*C1OC(CO)C(O)C(O)C1*,103,3.233,146.0579088,6,4,0,10,1.0,0.8333333333333334,1,0,1,0,1,1,0,0
FooDB,*C=CCCCCCCCCCCCCCC,92,2.888,223.242575992,16,0,0,16,0.875,0.0,0,0,0,0,0,0,0,0
FooDB,*C=CCCCCCCCCCCCCCCCC,90,2.825,251.27387612,18,0,0,18,0.8888888888888888,0.0,0,0,0,0,0,0,0,0
